B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,regime,source,target,true_lag,estimated_best_lag,correct_lag,ground_truth_alpha,estimated_alpha_true_lag,estimated_alpha_best_lag,correct_sign
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.6636691689491272,0.6636691689491272,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X4,X4,1,1,True,0.5,0.48386549949645996,0.48386549949645996,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.39735403656959534,0.39735403656959534,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.3816506564617157,0.3816506564617157,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.6637677550315857,0.6637677550315857,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4840051233768463,0.4840051233768463,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.42211031913757324,0.42211031913757324,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.6749201416969299,0.6749201416969299,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X2,X3,1,5,False,0.6000000238418579,-0.005478455685079098,0.008817065507173538,False
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X4,X4,1,1,True,0.5,0.4887884259223938,0.4887884259223938,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.4222070574760437,0.4222070574760437,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.675354540348053,0.675354540348053,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X2,X3,1,5,False,-0.6000000238418579,-0.005489132832735777,0.008824987336993217,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X4,X4,1,1,True,0.5,0.4890713691711426,0.4890713691711426,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.3950204849243164,0.3950204849243164,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.7117058634757996,0.7117058634757996,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.6480430364608765,0.6480430364608765,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X4,X4,1,1,True,0.5,0.47479113936424255,0.47479113936424255,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.401000440120697,0.401000440120697,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.7035871744155884,0.7035871744155884,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.5849180817604065,-0.5849180817604065,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X4,1,1,True,0.5,0.485415518283844,0.485415518283844,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.38793542981147766,0.38793542981147766,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X2,1,1,True,0.699999988079071,0.6630886197090149,0.6630886197090149,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.6182346940040588,0.6182346940040588,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X4,X4,1,1,True,0.5,0.4804723262786865,0.4804723262786865,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.3981509208679199,0.3981509208679199,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.6802211403846741,0.6802211403846741,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.612559974193573,0.612559974193573,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4836370050907135,0.4836370050907135,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.3645421862602234,0.3645421862602234,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.7130919694900513,0.7130919694900513,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X2,X3,1,3,False,0.6000000238418579,-0.005915241315960884,0.010720991529524326,False
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X4,X4,1,1,True,0.5,0.4685588777065277,0.4685588777065277,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.36773911118507385,0.36773911118507385,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.7138685584068298,0.7138685584068298,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X2,X3,1,1,True,-0.6000000238418579,-0.010041872039437294,-0.010041872039437294,True
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X4,X4,1,1,True,0.5,0.4699223041534424,0.4699223041534424,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.41042405366897583,0.41042405366897583,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.44239282608032227,0.44239282608032227,True
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.4046230912208557,0.4046230912208557,True
